"stage1/step","Group: Ours_BN_Simple_cauchy - stage1/mcc_spearman","Group: Ours_BN_Simple_cauchy - stage1/mcc_spearman__MIN","Group: Ours_BN_Simple_cauchy - stage1/mcc_spearman__MAX","Group: Ours_BN_Simple_cauchy - _step","Group: Ours_BN_Simple_cauchy - _step__MIN","Group: Ours_BN_Simple_cauchy - _step__MAX","Group: Ours_BN_Complicate_cauchy - stage1/mcc_spearman","Group: Ours_BN_Complicate_cauchy - stage1/mcc_spearman__MIN","Group: Ours_BN_Complicate_cauchy - stage1/mcc_spearman__MAX","Group: Ours_BN_Complicate_cauchy - _step","Group: Ours_BN_Complicate_cauchy - _step__MIN","Group: Ours_BN_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage1/mcc_spearman","Group: Ours_Simple_cauchy - stage1/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage1/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage1/mcc_spearman","Group: Ours_Complicate_cauchy - stage1/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage1/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"1","0.4165636665468063","0.30417438463622415","0.5673896097144885","4","4","4","0.23520632630183388","0.19230333748512668","0.25991818216874246","4","4","4","0.40994336468032433","0.28762471206096235","0.5653642016948908","4","4","4","0.2612470838473958","0.2315957276028003","0.28373172818125947","4","4","4"
"251","0.5981536703597781","0.5407874103716405","0.6444415790887844","505","505","505","0.26646661433769786","0.20340719820896283","0.34118141446208866","505","505","505","0.5923119947387336","0.5530668166422559","0.6240486712806438","505","505","505","0.34331552174393276","0.3080558442218072","0.3690633973454657","505","505","505"
"501","0.5799823232864829","0.5027056331230849","0.642671838827925","1006","1006","1006","0.2675783417384215","0.21421200831851425","0.32764166643583253","1006","1006","1006","0.6090554205177495","0.5337989638312282","0.668675850158464","1006","1006","1006","0.3550021334062587","0.32917523678941446","0.3741816414728025","1006","1006","1006"
"751","0.5895222781909604","0.5412375350777576","0.616911737754502","1507","1507","1507","0.27975121298030975","0.20447583291962093","0.3342087714108998","1507","1507","1507","0.6157361286103772","0.5498072200027169","0.6767758724013735","1507","1507","1507","0.3645862000721548","0.3460787976514789","0.38094286847461656","1507","1507","1507"
"1001","0.5779082806585032","0.5489158642209602","0.6061902390824563","2008","2008","2008","0.2770543619779214","0.20087578792341163","0.33180172713703765","2008","2008","2008","0.6239731454598632","0.5687224251549226","0.6735930284656919","2008","2008","2008","0.36851936152267784","0.3490272480763733","0.384357546861912","2008","2008","2008"
"1251","0.5776132670051062","0.5464042484319532","0.6128924328364875","2509","2509","2509","0.28189133195312055","0.2232754176469502","0.33611590234477257","2509","2509","2509","0.6284509311416138","0.583843565915382","0.6724865986245652","2509","2509","2509","0.371955614752452","0.3484223308006678","0.39353736662389577","2509","2509","2509"
"1501","0.5655689677441058","0.4871638346632379","0.6374811970414568","3010","3010","3010","0.282799897016908","0.22152148473183425","0.3318079527906191","3010","3010","3010","0.6322462699310167","0.5803151275468061","0.6866580999947768","3010","3010","3010","0.3729957357965975","0.35391501353447075","0.39683285314968764","3010","3010","3010"
"1751","0.5761306090612537","0.5181933064307005","0.6480370054688794","3511","3511","3511","0.2884483863448948","0.22156137671407206","0.3430385193814739","3511","3511","3511","0.6335898098631298","0.5800530259447015","0.6853012927208838","3511","3511","3511","0.37491879583401","0.3578211778316295","0.3978032947617406","3511","3511","3511"
"2001","0.5756277859951585","0.5384171425535287","0.650653334738155","4012","4012","4012","0.2923324991604334","0.23506262198770106","0.33999382822789564","4012","4012","4012","0.6376617078173243","0.5808651591096977","0.687161096568508","4012","4012","4012","0.3761297890543333","0.35713049986426615","0.39574757670646177","4012","4012","4012"
"2251","0.5666978398514979","0.5336693973785077","0.6549892961616792","4513","4513","4513","0.29492418262173686","0.2339415157809809","0.33816967412330834","4513","4513","4513","0.6370563254650368","0.5809599813972035","0.6874855688520123","4513","4513","4513","0.37729204275749845","0.36146040349181263","0.4003277042401622","4513","4513","4513"
"2501","0.5715598338419726","0.5204150515084206","0.663500278067107","5014","5014","5014","0.2926642078760112","0.2279968629476016","0.3422128328480204","5014","5014","5014","0.6371167434473974","0.58107196430345","0.6867699899280199","5014","5014","5014","0.3789555844085232","0.364721486140169","0.39899374563584233","5014","5014","5014"
"2751","0.5793105881960448","0.5371212801052637","0.6699230505600785","5515","5515","5515","0.29649408220412543","0.22965942194047057","0.3352395479939288","5515","5515","5515","0.6375777351314696","0.5824790251049534","0.6866793508627218","5515","5515","5515","0.37965182854037194","0.36163438582322804","0.39763473091779317","5515","5515","5515"
"3001","0.5753710797551606","0.5276416719741194","0.668982426653817","6016","6016","6016","0.28980052537796797","0.22088107108157798","0.323403303429405","6016","6016","6016","0.6380818817172579","0.5835559354664239","0.689121701197152","6016","6016","6016","0.37983010492807173","0.3627297136839683","0.4061653822336221","6016","6016","6016"
"3251","0.5673616123894248","0.5300175092521121","0.6384525564966593","6517","6517","6517","0.29228326498421603","0.22846191912224817","0.33104846090836154","6517","6517","6517","0.6379379739926903","0.5835001819010047","0.6877352222502262","6517","6517","6517","0.3811765581110603","0.36225191769947085","0.4003429421642054","6517","6517","6517"
"3501","0.5759513726386024","0.49007961782136206","0.6446842526101362","7018","7018","7018","0.2912337762570011","0.22631017430073333","0.3294936416979014","7018","7018","7018","0.6381731054958113","0.5828510347399924","0.6891743322296165","7018","7018","7018","0.3800156868340505","0.3601372275002854","0.4030588636288555","7018","7018","7018"
"3751","0.5752826366387996","0.5145625501581431","0.6371010749219402","7519","7519","7519","0.2971306270374846","0.26348924243481414","0.32374545128423654","7519","7519","7519","0.6383714893665335","0.5847604269370222","0.6885947363862811","7519","7519","7519","0.38360266547728133","0.36606832550415797","0.4097312367743945","7519","7519","7519"
"4001","0.5750450444779844","0.516441862409844","0.6514919001466392","8020","8020","8020","0.2954674888874919","0.24869844185678022","0.32464232207154653","8020","8020","8020","0.6386639425802891","0.5843865229300613","0.6898199940342248","8020","8020","8020","0.3829830128383641","0.3591190907458241","0.4026123596140637","8020","8020","8020"
"4251","0.5754665578937523","0.5045344837454874","0.6397185251466303","8521","8521","8521","0.2950889438984157","0.25725321291943626","0.32029595537742883","8521","8521","8521","0.6384859436835391","0.5831282703872692","0.6894620092256059","8521","8521","8521","0.3834829700970887","0.36709126535794007","0.40290987269234363","8521","8521","8521"
"4501","0.5721449309604658","0.5228256739320599","0.6368567761139537","9022","9022","9022","0.29474864065294104","0.25699122054963297","0.3184090817218183","9022","9022","9022","0.6386550823553154","0.5834991923513375","0.6901284597740777","9022","9022","9022","0.3849986984185591","0.3684471851053515","0.4033792996590721","9022","9022","9022"
"4751","0.5705332142041748","0.5192106622991308","0.6343688365277415","9523","9523","9523","0.2925571920465175","0.2612515607310225","0.3209545213551209","9523","9523","9523","0.6396685152062852","0.5837662035395367","0.6889488014420673","9523","9523","9523","0.38446669538845424","0.3643496570317191","0.4042431181014523","9523","9523","9523"
"5001","0.5672476943734457","0.5061236292278691","0.6469845345229529","10024","10024","10024","0.290449045270987","0.2538447872516504","0.31730624999601414","10024","10024","10024","0.6391425583096481","0.5852454948107338","0.6902192844852407","10024","10024","10024","0.3849483883671806","0.36660016645735777","0.4028108001764742","10024","10024","10024"
"5251","0.5790042383101738","0.5305050050546279","0.649859291469051","10525","10525","10525","0.28738057462403205","0.24665984878125036","0.3176616498478582","10525","10525","10525","0.6392211756147788","0.5843826999722105","0.6899042781785202","10525","10525","10525","0.3852832806748362","0.3669643465241036","0.4025157376587544","10525","10525","10525"
"5501","0.5766409435111862","0.53149417594887","0.6484377900513806","11026","11026","11026","0.2897505249887081","0.2478016332402014","0.3209448273100261","11026","11026","11026","0.6392049384236416","0.5846084617226263","0.6904375856191743","11026","11026","11026","0.3872604357544073","0.36738212465176245","0.41418344755960745","11026","11026","11026"
"5751","0.5767110643654212","0.5359089511918236","0.6475335052578596","11527","11527","11527","0.2923076041171384","0.25399889482878224","0.3339880768408213","11527","11527","11527","0.639294451861091","0.5867983896900981","0.6902347794159178","11527","11527","11527","0.3871852906955701","0.3650167356556183","0.4082337487744037","11527","11527","11527"
"6001","0.5842467332321933","0.5547787239136955","0.6378640243676373","12028","12028","12028","0.2909783691112181","0.2500288114095094","0.32843259789240953","12028","12028","12028","0.6392052595711948","0.5862471289957658","0.6898632104241922","12028","12028","12028","0.387778594548686","0.3694892665663788","0.40703950575722986","12028","12028","12028"
"6251","0.5801758951376518","0.4975182529536141","0.6680909954985742","12529","12529","12529","0.29235883235968907","0.2557699507308866","0.33196660313135273","12529","12529","12529","0.6396395704776727","0.5851465870065912","0.6897725846858348","12529","12529","12529","0.38732077298598205","0.3679804019477622","0.40608909996830206","12529","12529","12529"
"6501","0.5826452431064311","0.530780937641274","0.6451346657307041","13030","13030","13030","0.28992848108948344","0.26269031894614037","0.3368425737654224","13030","13030","13030","0.6390633560807429","0.5863588574834305","0.6883765598873132","13030","13030","13030","0.38917836870031114","0.37078581122163745","0.41166410240745366","13030","13030","13030"
"6751","0.5842672336299576","0.5137481980240167","0.6367030469102148","13531","13531","13531","0.28960500046511506","0.26141988458585425","0.33485406031092363","13531","13531","13531","0.6396532081725096","0.585819738647714","0.6897018583510897","13531","13531","13531","0.38978558121928125","0.3716018242514797","0.40849199173520045","13531","13531","13531"
"7001","0.5751618962739259","0.5010384756101691","0.6410534225132951","14032","14032","14032","0.292316203950526","0.2672577245782556","0.3373412373213512","14032","14032","14032","0.6397049016425227","0.5868251033229671","0.6891908814761188","14032","14032","14032","0.3883179589678767","0.3668351443808643","0.4102645191102366","14032","14032","14032"
"7251","0.5694505369976802","0.5132392764614716","0.6491782622525117","14533","14533","14533","0.29457386737144803","0.2483611217181274","0.343142235725808","14533","14533","14533","0.6404784802849802","0.5872873490463437","0.6915922868940133","14533","14533","14533","0.39052203928893736","0.3715843192315789","0.4106620118904445","14533","14533","14533"
"7501","0.578943857882396","0.501370089584409","0.6419585491528091","15034","15034","15034","0.2922242234768574","0.25158820684679195","0.3325206338154122","15034","15034","15034","0.6398405035025632","0.5880782698639562","0.6917899777956169","15034","15034","15034","0.3893055825348447","0.3748193554654219","0.4089579666464453","15034","15034","15034"
"7751","0.5818453313119479","0.5206567568165746","0.6561124114071238","15535","15535","15535","0.2960151030398305","0.25894026988401597","0.35139413704102995","15535","15535","15535","0.6398053055366454","0.5881656667452185","0.6918528674123213","15535","15535","15535","0.3883299377942996","0.37385532307529995","0.40999221588597673","15535","15535","15535"
"8001","0.5836045042621409","0.5221071593225702","0.6601952670403437","16036","16036","16036","0.3004475333347481","0.2641325686713877","0.353733379716309","16036","16036","16036","0.6399218259912669","0.5883399969620389","0.6915139690007557","16036","16036","16036","0.3891282619872377","0.37659776380593596","0.413773101309398","16036","16036","16036"
"8251","0.5868257929796152","0.5322298337351459","0.662984435222204","16537","16537","16537","0.3016643435919956","0.2727333906956969","0.34898160295331454","16537","16537","16537","0.6401218137679459","0.5878406031711759","0.6906493265237726","16537","16537","16537","0.3906655807327643","0.37445693827229876","0.4116344777872637","16537","16537","16537"
"8501","0.5949659045547165","0.5401744414749671","0.6613581067995788","17038","17038","17038","0.30485164791887664","0.2682816614158433","0.35487823512071126","17038","17038","17038","0.6399955293623683","0.5881616746711208","0.6904766010365929","17038","17038","17038","0.39088789728009676","0.3713986867543621","0.4106360028246834","17038","17038","17038"
"8751","0.5905550024463587","0.5306594537740118","0.6559375284623424","17539","17539","17539","0.30413501632489104","0.28113708792978526","0.36347185147322614","17539","17539","17539","0.6407445741094693","0.5884381939852287","0.691078596386108","17539","17539","17539","0.3895935556613593","0.3742163730542229","0.4090012906886768","17539","17539","17539"
"9001","0.5876700406060343","0.5341710895777226","0.655943134666891","18040","18040","18040","0.3072370201954415","0.2767592272131024","0.3630967826024213","18040","18040","18040","0.640371665605984","0.5876536095021697","0.6924345873603159","18040","18040","18040","0.39031161823338983","0.3719329810718247","0.412382749161167","18040","18040","18040"
"9251","0.590829322643102","0.5343275709461218","0.6583742657592654","18541","18541","18541","0.30745582368691715","0.2763741506297838","0.363376952026055","18541","18541","18541","0.6403860328930897","0.588138143508906","0.6932353529342187","18541","18541","18541","0.3909468624700174","0.37342208638806296","0.4135186457161704","18541","18541","18541"
"9501","0.5969046991025196","0.5324296603389687","0.6599735910727401","19042","19042","19042","0.311268259231445","0.28836442159889397","0.36698305372005696","19042","19042","19042","0.640168638130099","0.5881782711740717","0.6913323180483579","19042","19042","19042","0.3924426050665006","0.3740176449295897","0.41271831219435856","19042","19042","19042"
"9751","0.5981919487615169","0.545538763003189","0.6573485753575357","19543","19543","19543","0.31017994270591814","0.2880083304876086","0.35745527286669043","19543","19543","19543","0.6402505129512079","0.5885879743604171","0.6917981162108783","19543","19543","19543","0.392848955164636","0.37038242623453105","0.41391238662967195","19543","19543","19543"