"stage1/step","Group: Ours_MSE_Simple_cauchy - stage1/mcc_spearman","Group: Ours_MSE_Simple_cauchy - stage1/mcc_spearman__MIN","Group: Ours_MSE_Simple_cauchy - stage1/mcc_spearman__MAX","Group: Ours_MSE_Simple_cauchy - _step","Group: Ours_MSE_Simple_cauchy - _step__MIN","Group: Ours_MSE_Simple_cauchy - _step__MAX","Group: Ours_MSE_Complicate_cauchy - stage1/mcc_spearman","Group: Ours_MSE_Complicate_cauchy - stage1/mcc_spearman__MIN","Group: Ours_MSE_Complicate_cauchy - stage1/mcc_spearman__MAX","Group: Ours_MSE_Complicate_cauchy - _step","Group: Ours_MSE_Complicate_cauchy - _step__MIN","Group: Ours_MSE_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage1/mcc_spearman","Group: Ours_Simple_cauchy - stage1/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage1/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage1/mcc_spearman","Group: Ours_Complicate_cauchy - stage1/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage1/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"1","0.40780765147063835","0.2850231107216574","0.5477290230673049","4","4","4","0.23664776384646102","0.2137469755306086","0.29159911408157857","4","4","4","0.40994336468032433","0.28762471206096235","0.5653642016948908","4","4","4","0.2612470838473958","0.2315957276028003","0.28373172818125947","4","4","4"
"251","0.5501000778300413","0.44086890686846153","0.6435019093591893","505","505","505","0.27933496644756206","0.22225107425568927","0.3439145471011781","505","505","505","0.5923119947387336","0.5530668166422559","0.6240486712806438","505","505","505","0.34331552174393276","0.3080558442218072","0.3690633973454657","505","505","505"
"501","0.5718940843647835","0.5010027674758452","0.6106206056471941","1006","1006","1006","0.27239463431844224","0.19329667973309142","0.3365496519640962","1006","1006","1006","0.6090554205177495","0.5337989638312282","0.668675850158464","1006","1006","1006","0.3550021334062587","0.32917523678941446","0.3741816414728025","1006","1006","1006"
"751","0.5681016370323554","0.47858577018005555","0.6358060491399345","1507","1507","1507","0.27607612950917126","0.22646742114372528","0.3431537781957511","1507","1507","1507","0.6157361286103772","0.5498072200027169","0.6767758724013735","1507","1507","1507","0.3645862000721548","0.3460787976514789","0.38094286847461656","1507","1507","1507"
"1001","0.5672066262910451","0.48084550895472383","0.6446273006559088","2008","2008","2008","0.2746266035219237","0.20093552776278706","0.3491837874513384","2008","2008","2008","0.6239731454598632","0.5687224251549226","0.6735930284656919","2008","2008","2008","0.36851936152267784","0.3490272480763733","0.384357546861912","2008","2008","2008"
"1251","0.5703665484709182","0.48164788919322515","0.6365852851415047","2509","2509","2509","0.2754960985259011","0.23723633438552655","0.34751367983601744","2509","2509","2509","0.6284509311416138","0.583843565915382","0.6724865986245652","2509","2509","2509","0.371955614752452","0.3484223308006678","0.39353736662389577","2509","2509","2509"
"1501","0.5751697436791673","0.4755362635665504","0.644270964530049","3010","3010","3010","0.2659980257469613","0.22961084871441656","0.3568265819996722","3010","3010","3010","0.6322462699310167","0.5803151275468061","0.6866580999947768","3010","3010","3010","0.3729957357965975","0.35391501353447075","0.39683285314968764","3010","3010","3010"
"1751","0.5734189548885416","0.4662006738556115","0.6494568142214221","3511","3511","3511","0.263156314607844","0.18511319939450116","0.3130322632877961","3511","3511","3511","0.6335898098631298","0.5800530259447015","0.6853012927208838","3511","3511","3511","0.37491879583401","0.3578211778316295","0.3978032947617406","3511","3511","3511"
"2001","0.5720892114847191","0.4762518228318083","0.6557268513648836","4012","4012","4012","0.27740091029604513","0.2197447590071357","0.33337970718459786","4012","4012","4012","0.6376617078173243","0.5808651591096977","0.687161096568508","4012","4012","4012","0.3761297890543333","0.35713049986426615","0.39574757670646177","4012","4012","4012"
"2251","0.5736136602745007","0.485170094752672","0.6422298353295881","4513","4513","4513","0.2524727923647604","0.2216025878810846","0.293606502370577","4513","4513","4513","0.6370563254650368","0.5809599813972035","0.6874855688520123","4513","4513","4513","0.37729204275749845","0.36146040349181263","0.4003277042401622","4513","4513","4513"
"2501","0.5585077116785875","0.32486394201224145","0.6404018527693961","5014","5014","5014","0.2588126697776105","0.2309596734762717","0.2992578477968145","5014","5014","5014","0.6371167434473974","0.58107196430345","0.6867699899280199","5014","5014","5014","0.3789555844085232","0.364721486140169","0.39899374563584233","5014","5014","5014"
"2751","0.5588673133000184","0.33117975957409235","0.6511277892498742","5515","5515","5515","0.24764308187363387","0.17855210329725152","0.29153557679620923","5515","5515","5515","0.6375777351314696","0.5824790251049534","0.6866793508627218","5515","5515","5515","0.37965182854037194","0.36163438582322804","0.39763473091779317","5515","5515","5515"
"3001","0.5618750165904827","0.35619349471579653","0.6583874319521489","6016","6016","6016","0.26335195556890084","0.1926553667624907","0.2959345980957167","6016","6016","6016","0.6380818817172579","0.5835559354664239","0.689121701197152","6016","6016","6016","0.37983010492807173","0.3627297136839683","0.4061653822336221","6016","6016","6016"
"3251","0.5710874838812539","0.36951846386633797","0.6606012208945188","6517","6517","6517","0.2591083903144926","0.19596229349497102","0.30825185212628103","6517","6517","6517","0.6379379739926903","0.5835001819010047","0.6877352222502262","6517","6517","6517","0.3811765581110603","0.36225191769947085","0.4003429421642054","6517","6517","6517"
"3501","0.575781868225111","0.40856497532618485","0.6514609301963544","7018","7018","7018","0.26981281704493487","0.20596118995279986","0.2969753863315529","7018","7018","7018","0.6381731054958113","0.5828510347399924","0.6891743322296165","7018","7018","7018","0.3800156868340505","0.3601372275002854","0.4030588636288555","7018","7018","7018"
"3751","0.5700644794439322","0.41664065617508705","0.6501969399752392","7519","7519","7519","0.2517878731579743","0.16613330691344588","0.31656935116689866","7519","7519","7519","0.6383714893665335","0.5847604269370222","0.6885947363862811","7519","7519","7519","0.38360266547728133","0.36606832550415797","0.4097312367743945","7519","7519","7519"
"4001","0.5732558305714117","0.3892695289977845","0.6509782721493672","8020","8020","8020","0.2473480401232619","0.13559368613051706","0.31749598670209767","8020","8020","8020","0.6386639425802891","0.5843865229300613","0.6898199940342248","8020","8020","8020","0.3829830128383641","0.3591190907458241","0.4026123596140637","8020","8020","8020"
"4251","0.5715854469067918","0.3664605522182098","0.6549537003964073","8521","8521","8521","0.26191016852684146","0.1819818790767342","0.3132420063949921","8521","8521","8521","0.6384859436835391","0.5831282703872692","0.6894620092256059","8521","8521","8521","0.3834829700970887","0.36709126535794007","0.40290987269234363","8521","8521","8521"
"4501","0.5752542178167847","0.3795886513883246","0.6559465670389933","9022","9022","9022","0.2614523444954058","0.16047444531504138","0.3135123086125543","9022","9022","9022","0.6386550823553154","0.5834991923513375","0.6901284597740777","9022","9022","9022","0.3849986984185591","0.3684471851053515","0.4033792996590721","9022","9022","9022"
"4751","0.5755163037428881","0.3723239583804743","0.6561006787062995","9523","9523","9523","0.26113249328400273","0.17486754078012282","0.3165800769116532","9523","9523","9523","0.6396685152062852","0.5837662035395367","0.6889488014420673","9523","9523","9523","0.38446669538845424","0.3643496570317191","0.4042431181014523","9523","9523","9523"
"5001","0.5755179780510746","0.35979232997788163","0.6563981052683641","10024","10024","10024","0.2702412542504721","0.16804572252577238","0.3117341965642808","10024","10024","10024","0.6391425583096481","0.5852454948107338","0.6902192844852407","10024","10024","10024","0.3849483883671806","0.36660016645735777","0.4028108001764742","10024","10024","10024"
"5251","0.5766191469321335","0.3629316073998319","0.65670809789476","10525","10525","10525","0.2584323780762747","0.19511481733496452","0.30733016124026963","10525","10525","10525","0.6392211756147788","0.5843826999722105","0.6899042781785202","10525","10525","10525","0.3852832806748362","0.3669643465241036","0.4025157376587544","10525","10525","10525"
"5501","0.5785563003869014","0.42590637282790555","0.6464995898300634","11026","11026","11026","0.2622813525355612","0.19262039417258692","0.32504011454936993","11026","11026","11026","0.6392049384236416","0.5846084617226263","0.6904375856191743","11026","11026","11026","0.3872604357544073","0.36738212465176245","0.41418344755960745","11026","11026","11026"
"5751","0.5909660321138347","0.5301501288716056","0.6484130785574439","11527","11527","11527","0.26023154748478355","0.19391699863250494","0.3098167425688209","11527","11527","11527","0.639294451861091","0.5867983896900981","0.6902347794159178","11527","11527","11527","0.3871852906955701","0.3650167356556183","0.4082337487744037","11527","11527","11527"
"6001","0.5991936039596326","0.5391915972147788","0.6548308022721054","12028","12028","12028","0.2694716757790858","0.17763124815820155","0.32188561439698354","12028","12028","12028","0.6392052595711948","0.5862471289957658","0.6898632104241922","12028","12028","12028","0.387778594548686","0.3694892665663788","0.40703950575722986","12028","12028","12028"
"6251","0.5965409589881387","0.493920597173286","0.6534729373666782","12529","12529","12529","0.2698475119117453","0.18916465034589952","0.311304488198075","12529","12529","12529","0.6396395704776727","0.5851465870065912","0.6897725846858348","12529","12529","12529","0.38732077298598205","0.3679804019477622","0.40608909996830206","12529","12529","12529"
"6501","0.5958392339428641","0.49972927013024515","0.6536982950983878","13030","13030","13030","0.2723089816513244","0.246739667791481","0.3138041936137198","13030","13030","13030","0.6390633560807429","0.5863588574834305","0.6883765598873132","13030","13030","13030","0.38917836870031114","0.37078581122163745","0.41166410240745366","13030","13030","13030"
"6751","0.5968780891456291","0.506967878177476","0.6528296174772544","13531","13531","13531","0.2685990573094962","0.23934391606144198","0.3019008898186061","13531","13531","13531","0.6396532081725096","0.585819738647714","0.6897018583510897","13531","13531","13531","0.38978558121928125","0.3716018242514797","0.40849199173520045","13531","13531","13531"
"7001","0.5985466730924853","0.5134875678435885","0.6515189272879326","14032","14032","14032","0.2648549612145281","0.2308256870652899","0.30134712707537076","14032","14032","14032","0.6397049016425227","0.5868251033229671","0.6891908814761188","14032","14032","14032","0.3883179589678767","0.3668351443808643","0.4102645191102366","14032","14032","14032"
"7251","0.5960826090262803","0.4951673740479148","0.6527434454543649","14533","14533","14533","0.27437587233407756","0.2331976207594244","0.30641270471952003","14533","14533","14533","0.6404784802849802","0.5872873490463437","0.6915922868940133","14533","14533","14533","0.39052203928893736","0.3715843192315789","0.4106620118904445","14533","14533","14533"
"7501","0.5961319628148949","0.49178269520271606","0.6538304300768792","15034","15034","15034","0.2772879730331295","0.22997473273365948","0.30027111108545296","15034","15034","15034","0.6398405035025632","0.5880782698639562","0.6917899777956169","15034","15034","15034","0.3893055825348447","0.3748193554654219","0.4089579666464453","15034","15034","15034"
"7751","0.5965033298853102","0.4929556811641482","0.65192954337012","15535","15535","15535","0.27806030197134646","0.23556370070201166","0.30146600540479995","15535","15535","15535","0.6398053055366454","0.5881656667452185","0.6918528674123213","15535","15535","15535","0.3883299377942996","0.37385532307529995","0.40999221588597673","15535","15535","15535"
"8001","0.5964438638514485","0.4924973982211492","0.6581443686519809","16036","16036","16036","0.27429087738985","0.23111211003508297","0.31041948604115815","16036","16036","16036","0.6399218259912669","0.5883399969620389","0.6915139690007557","16036","16036","16036","0.3891282619872377","0.37659776380593596","0.413773101309398","16036","16036","16036"
"8251","0.597126544685535","0.4914511108368295","0.6621552478175152","16537","16537","16537","0.27760631370000965","0.2195152466479306","0.31646347563683896","16537","16537","16537","0.6401218137679459","0.5878406031711759","0.6906493265237726","16537","16537","16537","0.3906655807327643","0.37445693827229876","0.4116344777872637","16537","16537","16537"
"8501","0.5982106119767779","0.4971304396819016","0.6625474569662188","17038","17038","17038","0.2706539028058136","0.22935650153396647","0.31676676631340145","17038","17038","17038","0.6399955293623683","0.5881616746711208","0.6904766010365929","17038","17038","17038","0.39088789728009676","0.3713986867543621","0.4106360028246834","17038","17038","17038"
"8751","0.600263417679465","0.48766415794460194","0.665392796557491","17539","17539","17539","0.2830344831715203","0.24576188054957346","0.33644149909062226","17539","17539","17539","0.6407445741094693","0.5884381939852287","0.691078596386108","17539","17539","17539","0.3895935556613593","0.3742163730542229","0.4090012906886768","17539","17539","17539"
"9001","0.601696030209661","0.49488248173084104","0.6720488813152956","18040","18040","18040","0.2797983146689639","0.2444799984224344","0.3375705291396755","18040","18040","18040","0.640371665605984","0.5876536095021697","0.6924345873603159","18040","18040","18040","0.39031161823338983","0.3719329810718247","0.412382749161167","18040","18040","18040"
"9251","0.6016473287464961","0.4942328764245561","0.6726790975903828","18541","18541","18541","0.2741150094482059","0.21559210332311177","0.34496834394521925","18541","18541","18541","0.6403860328930897","0.588138143508906","0.6932353529342187","18541","18541","18541","0.3909468624700174","0.37342208638806296","0.4135186457161704","18541","18541","18541"
"9501","0.6016692049713059","0.49420355356067197","0.6746636539314937","19042","19042","19042","0.2716638976597355","0.20866788312388299","0.34112605067064966","19042","19042","19042","0.640168638130099","0.5881782711740717","0.6913323180483579","19042","19042","19042","0.3924426050665006","0.3740176449295897","0.41271831219435856","19042","19042","19042"
"9751","0.5994853125186513","0.4700170171215401","0.6762568497559899","19543","19543","19543","0.2718843110883043","0.20886279304604286","0.3469811116662098","19543","19543","19543","0.6402505129512079","0.5885879743604171","0.6917981162108783","19543","19543","19543","0.392848955164636","0.37038242623453105","0.41391238662967195","19543","19543","19543"