"stage1/step","Group: VaDE_Complicate_cauchy - stage1/mcc_spearman","Group: VaDE_Complicate_cauchy - stage1/mcc_spearman__MIN","Group: VaDE_Complicate_cauchy - stage1/mcc_spearman__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_cauchy - stage1/mcc_spearman","Group: Danru_Complicate_cauchy - stage1/mcc_spearman__MIN","Group: Danru_Complicate_cauchy - stage1/mcc_spearman__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage1/mcc_spearman","Group: Ours_Complicate_cauchy - stage1/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage1/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"1","0.233543978426605","0.20891565709664026","0.2711122821175196","2","2","2","0.23354334533913038","0.20891558950939743","0.27110882007155784","4","4","4","0.2612470838473958","0.2315957276028003","0.28373172818125947","4","4","4"
"251","0.24335104324004733","0.15605497382701913","0.3133097368310593","253","253","253","0.23744124368533798","0.13720706202950644","0.33173689613253265","505","505","505","0.34331552174393276","0.3080558442218072","0.3690633973454657","505","505","505"
"501","0.24285846855437146","0.1545319426781198","0.31626495365715324","504","504","504","0.2473157517044789","0.11224003054808644","0.3410347626074612","1006","1006","1006","0.3550021334062587","0.32917523678941446","0.3741816414728025","1006","1006","1006"
"751","0.2522495709640497","0.20246144694148338","0.3094709231457889","755","755","755","0.24770112217561574","0.10916247926259923","0.3037358397703514","1507","1507","1507","0.3645862000721548","0.3460787976514789","0.38094286847461656","1507","1507","1507"
"1001","0.24690745469449996","0.17231445867885642","0.3066611182395103","1006","1006","1006","0.24747061806555704","0.1427313933653193","0.29121215068825024","2008","2008","2008","0.36851936152267784","0.3490272480763733","0.384357546861912","2008","2008","2008"
"1251","0.2424249175716521","0.17342548673233515","0.31339979542624985","1257","1257","1257","0.24601478469760507","0.14108394599936194","0.28613705540890455","2509","2509","2509","0.371955614752452","0.3484223308006678","0.39353736662389577","2509","2509","2509"
"1501","0.24330480450401196","0.19122727145663568","0.3002863674845681","1508","1508","1508","0.24685225504033065","0.1373955007829338","0.30627491072480223","3010","3010","3010","0.3729957357965975","0.35391501353447075","0.39683285314968764","3010","3010","3010"
"1751","0.24393927211808702","0.19046084650486184","0.29943170706789585","1759","1759","1759","0.24390532066955775","0.08720683124455822","0.3075778583995292","3511","3511","3511","0.37491879583401","0.3578211778316295","0.3978032947617406","3511","3511","3511"
"2001","0.24447429391870198","0.17349640387912757","0.30381775575307135","2010","2010","2010","0.245992341057608","0.08955538254001605","0.3107247095925266","4012","4012","4012","0.3761297890543333","0.35713049986426615","0.39574757670646177","4012","4012","4012"
"2251","0.23770930264004497","0.16663670937606617","0.30513780183410005","2261","2261","2261","0.23476262768377584","0.0842042402552994","0.310763396692291","4513","4513","4513","0.37729204275749845","0.36146040349181263","0.4003277042401622","4513","4513","4513"
"2501","0.23115675017588969","0.15441059428401377","0.2955386709430352","2512","2512","2512","0.22469368892736935","0.09866915313004428","0.307131366538775","5014","5014","5014","0.3789555844085232","0.364721486140169","0.39899374563584233","5014","5014","5014"
"2751","0.23079683477203106","0.1691016346319761","0.29263813237935904","2763","2763","2763","0.2249804332888672","0.09881410427999213","0.3016293004567691","5515","5515","5515","0.37965182854037194","0.36163438582322804","0.39763473091779317","5515","5515","5515"
"3001","0.23716037518579172","0.1625054849501196","0.31429559045131034","3014","3014","3014","0.23068888915585464","0.14324403694380072","0.30048635229942583","6016","6016","6016","0.37983010492807173","0.3627297136839683","0.4061653822336221","6016","6016","6016"
"3251","0.23938968685699208","0.1969612557568103","0.3090565358304286","3265","3265","3265","0.22529152172848113","0.1279027719083488","0.3093610688982668","6517","6517","6517","0.3811765581110603","0.36225191769947085","0.4003429421642054","6517","6517","6517"
"3501","0.22898116591015322","0.14540795542345433","0.3010393678479935","3516","3516","3516","0.2263063459777741","0.11989183672204326","0.30192179446480893","7018","7018","7018","0.3800156868340505","0.3601372275002854","0.4030588636288555","7018","7018","7018"
"3751","0.22635033310743663","0.1354933672054741","0.2989664286344931","3767","3767","3767","0.22830810221417872","0.1042213968861602","0.30170857194822603","7519","7519","7519","0.38360266547728133","0.36606832550415797","0.4097312367743945","7519","7519","7519"
"4001","0.2309635042885291","0.17217071201644157","0.3024011444377428","4018","4018","4018","0.22981270793348335","0.13015214361784283","0.3035384096882499","8020","8020","8020","0.3829830128383641","0.3591190907458241","0.4026123596140637","8020","8020","8020"
"4251","0.23432596243038092","0.17850953966501765","0.298824941012005","4269","4269","4269","0.23673387753190092","0.1406167957395977","0.3019506590184606","8521","8521","8521","0.3834829700970887","0.36709126535794007","0.40290987269234363","8521","8521","8521"
"4501","0.23921525303720523","0.19012747535667657","0.2962617501609251","4520","4520","4520","0.23672605383841355","0.13603094147182115","0.3007546290367431","9022","9022","9022","0.3849986984185591","0.3684471851053515","0.4033792996590721","9022","9022","9022"
"4751","0.2362640526194218","0.18713785789521947","0.2935219425481225","4771","4771","4771","0.23644116099317744","0.1693041343951479","0.2958322343274935","9523","9523","9523","0.38446669538845424","0.3643496570317191","0.4042431181014523","9523","9523","9523"
"5001","0.23536366635773226","0.17685547788428974","0.29802706016723546","5022","5022","5022","0.2275183485083391","0.14408140052567925","0.2857478783408174","10024","10024","10024","0.3849483883671806","0.36660016645735777","0.4028108001764742","10024","10024","10024"
"5251","0.23245066397445133","0.17916272715674122","0.2718734144913352","5273","5273","5273","0.2285132377877471","0.14576275274629355","0.2966369714960358","10525","10525","10525","0.3852832806748362","0.3669643465241036","0.4025157376587544","10525","10525","10525"
"5501","0.2295581383897965","0.17439336579460216","0.2655905594077873","5524","5524","5524","0.23474228081455775","0.13868203838940096","0.291628680537129","11026","11026","11026","0.3872604357544073","0.36738212465176245","0.41418344755960745","11026","11026","11026"
"5751","0.22631385702964293","0.17508643130822826","0.2623896389565493","5775","5775","5775","0.2329027178951612","0.1296039705280747","0.3016060743974367","11527","11527","11527","0.3871852906955701","0.3650167356556183","0.4082337487744037","11527","11527","11527"
"6001","0.2299277413137631","0.19245573094041662","0.27089367244250084","6026","6026","6026","0.2350465745824808","0.1344697675250869","0.29336912228199513","12028","12028","12028","0.387778594548686","0.3694892665663788","0.40703950575722986","12028","12028","12028"
"6251","0.22695712871164958","0.18309349528583624","0.2726818296303001","6277","6277","6277","0.2364254082270701","0.16178616705398202","0.29530983511680475","12529","12529","12529","0.38732077298598205","0.3679804019477622","0.40608909996830206","12529","12529","12529"
"6501","0.22753707346697807","0.18441533852172215","0.2699166512863565","6528","6528","6528","0.24025464362519022","0.16801247503752476","0.30647152810551964","13030","13030","13030","0.38917836870031114","0.37078581122163745","0.41166410240745366","13030","13030","13030"
"6751","0.22459647953994813","0.1789113408765266","0.2647373256429505","6779","6779","6779","0.22645249981953003","0.1502547526678884","0.28511406307100784","13531","13531","13531","0.38978558121928125","0.3716018242514797","0.40849199173520045","13531","13531","13531"
"7001","0.2247960905275987","0.17943611110005211","0.2681744912933318","7030","7030","7030","0.22866722095442826","0.14850816482452286","0.278893959786075","14032","14032","14032","0.3883179589678767","0.3668351443808643","0.4102645191102366","14032","14032","14032"
"7251","0.2219600824522791","0.1768567733708216","0.26586172632045174","7281","7281","7281","0.23444430719258472","0.1680249788664218","0.2857780247306535","14533","14533","14533","0.39052203928893736","0.3715843192315789","0.4106620118904445","14533","14533","14533"
"7501","0.22361799654777395","0.17743345500167731","0.274160478221254","7532","7532","7532","0.22813105699482664","0.15171475037767626","0.2860884148946362","15034","15034","15034","0.3893055825348447","0.3748193554654219","0.4089579666464453","15034","15034","15034"
"7751","0.2226391140339185","0.1738202624505984","0.28431379985524796","7783","7783","7783","0.24767026108931436","0.1899051374452015","0.300011213129552","15535","15535","15535","0.3883299377942996","0.37385532307529995","0.40999221588597673","15535","15535","15535"
"8001","0.2216072534474959","0.16534081768590875","0.2792478642103409","8034","8034","8034","0.24326199937183673","0.18965500282878148","0.2964255648824419","16036","16036","16036","0.3891282619872377","0.37659776380593596","0.413773101309398","16036","16036","16036"
"8251","0.22201404101046046","0.17393308188125084","0.2738690883664229","8285","8285","8285","0.2425921286672968","0.18611903547583855","0.2972205087260339","16537","16537","16537","0.3906655807327643","0.37445693827229876","0.4116344777872637","16537","16537","16537"
"8501","0.2245398856396587","0.17764397745997063","0.27178063558888244","8536","8536","8536","0.24219411035490634","0.19227702310826406","0.2774670456231251","17038","17038","17038","0.39088789728009676","0.3713986867543621","0.4106360028246834","17038","17038","17038"
"8751","0.22393071535394043","0.15954279766860988","0.2648441493839454","8787","8787","8787","0.24563245208042872","0.1883911662826568","0.294252349859703","17539","17539","17539","0.3895935556613593","0.3742163730542229","0.4090012906886768","17539","17539","17539"
"9001","0.22258569681967932","0.17037670519149245","0.26051122447166547","9038","9038","9038","0.2391207744704215","0.15696261092442162","0.28477339789835254","18040","18040","18040","0.39031161823338983","0.3719329810718247","0.412382749161167","18040","18040","18040"
"9251","0.22486634367809474","0.18055544745881397","0.26736432456626236","9289","9289","9289","0.23987632362348754","0.15198289548583027","0.2883737700052491","18541","18541","18541","0.3909468624700174","0.37342208638806296","0.4135186457161704","18541","18541","18541"
"9501","0.22110461166787126","0.1351666929038715","0.2605276488299108","9540","9540","9540","0.23888336068550275","0.14594774553013845","0.29315085985882716","19042","19042","19042","0.3924426050665006","0.3740176449295897","0.41271831219435856","19042","19042","19042"
"9751","0.22221570426719736","0.13881358687672835","0.26675509522020685","9791","9791","9791","0.2388102013992624","0.14819911209909206","0.29778181073540777","19543","19543","19543","0.392848955164636","0.37038242623453105","0.41391238662967195","19543","19543","19543"