"stage1/step","Group: VaDE_Simple_cauchy - stage1/mcc_spearman","Group: VaDE_Simple_cauchy - stage1/mcc_spearman__MIN","Group: VaDE_Simple_cauchy - stage1/mcc_spearman__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX","Group: Danru_Simple_cauchy - stage1/mcc_spearman","Group: Danru_Simple_cauchy - stage1/mcc_spearman__MIN","Group: Danru_Simple_cauchy - stage1/mcc_spearman__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage1/mcc_spearman","Group: Ours_Simple_cauchy - stage1/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage1/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX"
"1","0.4159068906076503","0.30895889320891573","0.553735484481782","2","2","2","0.4157696787096527","0.3089969372975799","0.5537306109069063","4","4","4","0.40994336468032433","0.28762471206096235","0.5653642016948908","4","4","4"
"251","0.5648807350783508","0.5497573828661777","0.5880928827173477","253","253","253","0.5631790973228603","0.5321143194145989","0.6004192846931485","505","505","505","0.5923119947387336","0.5530668166422559","0.6240486712806438","505","505","505"
"501","0.5561962412652848","0.5166201324570948","0.5948789363151683","504","504","504","0.5620760433204903","0.48792043080494013","0.6172246273470385","1006","1006","1006","0.6090554205177495","0.5337989638312282","0.668675850158464","1006","1006","1006"
"751","0.5383431752455669","0.4518044015103648","0.5740183285376825","755","755","755","0.5406656048722881","0.4459889909309192","0.6105944119810832","1507","1507","1507","0.6157361286103772","0.5498072200027169","0.6767758724013735","1507","1507","1507"
"1001","0.5474849346776814","0.4910816699588432","0.6104496188616683","1006","1006","1006","0.5464670885641224","0.48426385868717264","0.6068552847546873","2008","2008","2008","0.6239731454598632","0.5687224251549226","0.6735930284656919","2008","2008","2008"
"1251","0.5520464966135032","0.5199760189196905","0.5952287158766222","1257","1257","1257","0.5398171319068453","0.4225810069333833","0.598167154610151","2509","2509","2509","0.6284509311416138","0.583843565915382","0.6724865986245652","2509","2509","2509"
"1501","0.5328091761856087","0.4373725444390633","0.5707252692765539","1508","1508","1508","0.5428298202087292","0.499818253727282","0.5787320509117909","3010","3010","3010","0.6322462699310167","0.5803151275468061","0.6866580999947768","3010","3010","3010"
"1751","0.5219341474232294","0.42006084042068687","0.5813426362786905","1759","1759","1759","0.5415054651090572","0.47579160945716276","0.580430813463792","3511","3511","3511","0.6335898098631298","0.5800530259447015","0.6853012927208838","3511","3511","3511"
"2001","0.5142090815938495","0.43795333316379553","0.5656081364469029","2010","2010","2010","0.5489277487320638","0.40799284475252434","0.6125714276525828","4012","4012","4012","0.6376617078173243","0.5808651591096977","0.687161096568508","4012","4012","4012"
"2251","0.5228329865759425","0.4474940344927186","0.5897589462146696","2261","2261","2261","0.55288887955975","0.4995163656489447","0.5983663986045591","4513","4513","4513","0.6370563254650368","0.5809599813972035","0.6874855688520123","4513","4513","4513"
"2501","0.5125066044583889","0.4200856471749272","0.5595153889075049","2512","2512","2512","0.5563805927999191","0.5242435363106986","0.598569807968625","5014","5014","5014","0.6371167434473974","0.58107196430345","0.6867699899280199","5014","5014","5014"
"2751","0.5016069486884245","0.4043770279067269","0.5953812713107233","2763","2763","2763","0.5464280739187013","0.4643170568019717","0.5917821853936216","5515","5515","5515","0.6375777351314696","0.5824790251049534","0.6866793508627218","5515","5515","5515"
"3001","0.5073555101621667","0.41181248403820714","0.5657933489087884","3014","3014","3014","0.5418938294064811","0.4404404501608745","0.5954050028707992","6016","6016","6016","0.6380818817172579","0.5835559354664239","0.689121701197152","6016","6016","6016"
"3251","0.5207230369222848","0.4107683683527779","0.5835891137274641","3265","3265","3265","0.5222522110155612","0.2818367045795917","0.5955674037028076","6517","6517","6517","0.6379379739926903","0.5835001819010047","0.6877352222502262","6517","6517","6517"
"3501","0.5054796522960714","0.40828427908972625","0.5789237380765065","3516","3516","3516","0.5173321521478844","0.31535657076979745","0.6039991702827963","7018","7018","7018","0.6381731054958113","0.5828510347399924","0.6891743322296165","7018","7018","7018"
"3751","0.5237944477919465","0.412136017402937","0.5771491706544295","3767","3767","3767","0.5097149408293892","0.287414106698049","0.6214655761658631","7519","7519","7519","0.6383714893665335","0.5847604269370222","0.6885947363862811","7519","7519","7519"
"4001","0.529901714545584","0.41237608803931725","0.5981601814118767","4018","4018","4018","0.51380033160219","0.2706290069112674","0.6163113610130674","8020","8020","8020","0.6386639425802891","0.5843865229300613","0.6898199940342248","8020","8020","8020"
"4251","0.5107047303524898","0.39454864056447714","0.5665923241143423","4269","4269","4269","0.5096378783420444","0.2657520831689117","0.6312877369876987","8521","8521","8521","0.6384859436835391","0.5831282703872692","0.6894620092256059","8521","8521","8521"
"4501","0.5136778214734246","0.40904836922288573","0.5836421053905231","4520","4520","4520","0.521838618931073","0.2817838356731572","0.6293365118586446","9022","9022","9022","0.6386550823553154","0.5834991923513375","0.6901284597740777","9022","9022","9022"
"4751","0.5131200290610286","0.4231358324544909","0.5784820075404631","4771","4771","4771","0.521056180891825","0.33461075988668965","0.6163285269011914","9523","9523","9523","0.6396685152062852","0.5837662035395367","0.6889488014420673","9523","9523","9523"
"5001","0.5289554154727923","0.43806895910075844","0.5774342393723647","5022","5022","5022","0.5177985290557874","0.2775655658522646","0.6209665335996729","10024","10024","10024","0.6391425583096481","0.5852454948107338","0.6902192844852407","10024","10024","10024"
"5251","0.5172492671515834","0.4260122679981695","0.5929764136845858","5273","5273","5273","0.506389067897439","0.2894345694924785","0.6056547485819944","10525","10525","10525","0.6392211756147788","0.5843826999722105","0.6899042781785202","10525","10525","10525"
"5501","0.521947643707976","0.41938668557647407","0.6011186500018454","5524","5524","5524","0.5173162534746963","0.2845000290451784","0.6413010103802822","11026","11026","11026","0.6392049384236416","0.5846084617226263","0.6904375856191743","11026","11026","11026"
"5751","0.5178954110203471","0.4727361534913029","0.5746728427165325","5775","5775","5775","0.4994487218799499","0.282680339598439","0.6260421279742778","11527","11527","11527","0.639294451861091","0.5867983896900981","0.6902347794159178","11527","11527","11527"
"6001","0.5465678880255297","0.49048031197553366","0.6122791416423091","6026","6026","6026","0.4864159116973594","0.2902142469575229","0.6146349626810544","12028","12028","12028","0.6392052595711948","0.5862471289957658","0.6898632104241922","12028","12028","12028"
"6251","0.5326608465050987","0.4795664040060499","0.5886995087701846","6277","6277","6277","0.4950081295518842","0.33900738546117926","0.6202389702631185","12529","12529","12529","0.6396395704776727","0.5851465870065912","0.6897725846858348","12529","12529","12529"
"6501","0.54157156875567","0.493494337575757","0.5868176188599233","6528","6528","6528","0.49088939410295457","0.3013731798279734","0.6419995259951318","13030","13030","13030","0.6390633560807429","0.5863588574834305","0.6883765598873132","13030","13030","13030"
"6751","0.53600657784335","0.45174037688233876","0.58964802431148","6779","6779","6779","0.5053865871090639","0.3207167845956762","0.6410423669653139","13531","13531","13531","0.6396532081725096","0.585819738647714","0.6897018583510897","13531","13531","13531"
"7001","0.5465324518832183","0.485456453990962","0.601699843740636","7030","7030","7030","0.5197795660354507","0.40768028123645056","0.6580553934645038","14032","14032","14032","0.6397049016425227","0.5868251033229671","0.6891908814761188","14032","14032","14032"
"7251","0.5504526078906051","0.5022634356412795","0.5937489677939934","7281","7281","7281","0.5225335010551859","0.4026196350254607","0.6413874866002122","14533","14533","14533","0.6404784802849802","0.5872873490463437","0.6915922868940133","14533","14533","14533"
"7501","0.5531012378133869","0.5147048907394791","0.5970572945036415","7532","7532","7532","0.5181261245182359","0.36668730737395583","0.598496263542994","15034","15034","15034","0.6398405035025632","0.5880782698639562","0.6917899777956169","15034","15034","15034"
"7751","0.5337068439060625","0.4562506968046894","0.6100107878770066","7783","7783","7783","0.507249227092265","0.35922502914304255","0.5914982565934034","15535","15535","15535","0.6398053055366454","0.5881656667452185","0.6918528674123213","15535","15535","15535"
"8001","0.5271089835499805","0.4377147685154825","0.6397477948377884","8034","8034","8034","0.5103906690845436","0.33993661384323604","0.5979060427345179","16036","16036","16036","0.6399218259912669","0.5883399969620389","0.6915139690007557","16036","16036","16036"
"8251","0.532412880350164","0.3903170195875558","0.6447173497797367","8285","8285","8285","0.5107099444756202","0.3429520029181616","0.598427909000886","16537","16537","16537","0.6401218137679459","0.5878406031711759","0.6906493265237726","16537","16537","16537"
"8501","0.5288996181961645","0.32316658965140044","0.6401477894450167","8536","8536","8536","0.5024192048263868","0.35958809426555133","0.585708231074502","17038","17038","17038","0.6399955293623683","0.5881616746711208","0.6904766010365929","17038","17038","17038"
"8751","0.5445364790013609","0.4222013704443604","0.6385046147286468","8787","8787","8787","0.5012050189420398","0.3412553772955545","0.5934428134081162","17539","17539","17539","0.6407445741094693","0.5884381939852287","0.691078596386108","17539","17539","17539"
"9001","0.5369347828666124","0.43725729575598676","0.6531796564228297","9038","9038","9038","0.49964276684463516","0.3645257036190516","0.5924771160443022","18040","18040","18040","0.640371665605984","0.5876536095021697","0.6924345873603159","18040","18040","18040"
"9251","0.5444360085206242","0.46625365085080467","0.656712460881422","9289","9289","9289","0.49593088088724013","0.3741959178015817","0.5927961322186134","18541","18541","18541","0.6403860328930897","0.588138143508906","0.6932353529342187","18541","18541","18541"
"9501","0.5482112876540569","0.47948598208855336","0.659589084557478","9540","9540","9540","0.49580596525758686","0.37620825055307233","0.6063361194488205","19042","19042","19042","0.640168638130099","0.5881782711740717","0.6913323180483579","19042","19042","19042"
"9751","0.5502796261652227","0.474662327923803","0.6777890616787058","9791","9791","9791","0.48677501927657535","0.3486671199423868","0.6137277800446012","19543","19543","19543","0.6402505129512079","0.5885879743604171","0.6917981162108783","19543","19543","19543"