"stage1/step","Group: VaDE_Simple_gauss - stage1/mcc_pearson","Group: VaDE_Simple_gauss - stage1/mcc_pearson__MIN","Group: VaDE_Simple_gauss - stage1/mcc_pearson__MAX","Group: VaDE_Simple_gauss - _step","Group: VaDE_Simple_gauss - _step__MIN","Group: VaDE_Simple_gauss - _step__MAX","Group: Danru_Simple_gauss - stage1/mcc_pearson","Group: Danru_Simple_gauss - stage1/mcc_pearson__MIN","Group: Danru_Simple_gauss - stage1/mcc_pearson__MAX","Group: Danru_Simple_gauss - _step","Group: Danru_Simple_gauss - _step__MIN","Group: Danru_Simple_gauss - _step__MAX","Group: Ours_Simple_gauss - stage1/mcc_pearson","Group: Ours_Simple_gauss - stage1/mcc_pearson__MIN","Group: Ours_Simple_gauss - stage1/mcc_pearson__MAX","Group: Ours_Simple_gauss - _step","Group: Ours_Simple_gauss - _step__MIN","Group: Ours_Simple_gauss - _step__MAX"
"1","0.4399240506466116","0.36526150467054747","0.6330287901180022","2","2","2","0.5322481250004298","0.42306922317451784","0.7545236653699211","4","4","4","0.49693522286978553","0.3676826547865137","0.7686720581937948","4","4","4"
"251","0.7948758539201765","0.6012783096236131","0.9177106174671424","253","253","253","0.7768999285128324","0.4969052369006774","0.900027797236126","505","505","505","0.7515431587360133","0.6378331395183688","0.9303352134018188","505","505","505"
"501","0.8324302922901804","0.6601184203006641","0.9769009911788241","504","504","504","0.7747911035544203","0.5009338168148624","0.8959408293045353","1006","1006","1006","0.7522594355063922","0.6345087100195416","0.9343964038551839","1006","1006","1006"
"751","0.8544101549469081","0.6739150974150562","0.98331418344245","755","755","755","0.7709210334980572","0.49458499451274607","0.8967512108179422","1507","1507","1507","0.7518315537664393","0.6300318186912778","0.9345909080329581","1507","1507","1507"
"1001","0.8306530644241225","0.5534214750565342","0.9861707672363808","1006","1006","1006","0.7685885666680743","0.5005330912770419","0.8942464368183382","2008","2008","2008","0.7514023225789587","0.6407775123630014","0.933563814229263","2008","2008","2008"
"1251","0.8575644972839693","0.7572984605839773","0.93920925270067","1257","1257","1257","0.7641132014049375","0.49432843183531183","0.888942659016597","2509","2509","2509","0.7506933098399954","0.633368331531563","0.9365962566685275","2509","2509","2509"
"1501","0.8470510021569415","0.621535260251954","0.9744254079567085","1508","1508","1508","0.7613284746434907","0.4960645650275355","0.8834083815514586","3010","3010","3010","0.7528986538214982","0.6431562817244107","0.935441738955426","3010","3010","3010"
"1751","0.8266871758253714","0.6552980634255189","0.9675605900579435","1759","1759","1759","0.7577718356581873","0.497467371523406","0.8830341703478806","3511","3511","3511","0.7529962796330406","0.6361744620455909","0.9323938046082096","3511","3511","3511"
"2001","0.8268201113425248","0.6783398726500729","0.9591058595559484","2010","2010","2010","0.7529779968027246","0.49555574974439504","0.8773045070232041","4012","4012","4012","0.7515519881829726","0.6380416144055682","0.9336379659850164","4012","4012","4012"
"2251","0.8505291831561597","0.7521144558218937","0.9669534588148427","2261","2261","2261","0.7526329985940593","0.49978606988733487","0.8695585192185371","4513","4513","4513","0.7530008081495322","0.6330237388046744","0.936030593550707","4513","4513","4513"
"2501","0.860276833734393","0.746171618918558","0.9503662238245552","2512","2512","2512","0.7479447775350938","0.49298329389115453","0.8639928951859136","5014","5014","5014","0.7516898409670297","0.6274604881700041","0.9350110374305896","5014","5014","5014"
"2751","0.8615945250969151","0.7559628573526705","0.9573651427872701","2763","2763","2763","0.746793691463904","0.4946905823369911","0.8626835762173246","5515","5515","5515","0.7520396121016217","0.6337878890642561","0.9375487858946866","5515","5515","5515"
"3001","0.7956773867932888","0.7079234834416647","0.9491902948739673","3014","3014","3014","0.7437475398162519","0.488674312304137","0.8581024609318778","6016","6016","6016","0.7519637163269358","0.6295687993925688","0.9362006040916718","6016","6016","6016"
"3251","0.8587988339753624","0.7689933678574651","0.9561866688201657","3265","3265","3265","0.7432757172155766","0.5017821286549027","0.8601249573635812","6517","6517","6517","0.7532015636352589","0.6342999251925369","0.9379299872302544","6517","6517","6517"
"3501","0.8496840187615771","0.7143282050615029","0.9752608417518074","3516","3516","3516","0.7404605432141093","0.4897576543285546","0.8510001084266098","7018","7018","7018","0.7531126035239708","0.6371430127836533","0.9407433052081001","7018","7018","7018"
"3751","0.8371662361313519","0.6514677894309094","0.9589898849069876","3767","3767","3767","0.7378754098573528","0.48965247951635965","0.8491760698888055","7519","7519","7519","0.7532415172547097","0.6387832692641017","0.9404021866934285","7519","7519","7519"
"4001","0.813747010622453","0.6931814697144537","0.9493653361528009","4018","4018","4018","0.7382960982914104","0.5014492501149359","0.8457041365500534","8020","8020","8020","0.7532897137647496","0.6361766300590815","0.9392554068792215","8020","8020","8020"
"4251","0.8431735259143041","0.6484393850432565","0.9590702353801088","4269","4269","4269","0.7345318881897274","0.4883959295982567","0.8429587877823894","8521","8521","8521","0.751481233600894","0.6273227187189508","0.9398408912092199","8521","8521","8521"
"4501","0.8387372891620576","0.7613275827744518","0.9472304978922516","4520","4520","4520","0.7335892614509453","0.48278162667429975","0.8403903798577065","9022","9022","9022","0.7536002964613394","0.6471887907904509","0.9405728740923359","9022","9022","9022"
"4751","0.8567446848526634","0.7596220298739803","0.9544271554289767","4771","4771","4771","0.7324069882236739","0.47984187960081864","0.8381526787364978","9523","9523","9523","0.7545888529149879","0.6437043081214261","0.94041073393048","9523","9523","9523"
"5001","0.8168800456975932","0.6962692373081502","0.9323604483817451","5022","5022","5022","0.7313747603465923","0.49420834351368814","0.8379497167222159","10024","10024","10024","0.7551523130714257","0.644400019799631","0.9395717501294826","10024","10024","10024"
"5251","0.8421661140535344","0.6495436691756872","0.9737047902974688","5273","5273","5273","0.7316966927307141","0.5002727759323364","0.836317129851619","10525","10525","10525","0.7545001994681012","0.6373570865922111","0.941855376198015","10525","10525","10525"
"5501","0.8258695834517745","0.6894038791296948","0.9381940500645646","5524","5524","5524","0.7279789948498572","0.4781876662844344","0.8376744877583766","11026","11026","11026","0.7541208164427611","0.6305977830552364","0.9408391973199541","11026","11026","11026"
"5751","0.8462651123518856","0.7501194153943622","0.9410105066445804","5775","5775","5775","0.7281821256753469","0.48970323353075185","0.8305978226222696","11527","11527","11527","0.7540944220533816","0.6383277109050587","0.9414338399805042","11527","11527","11527"
"6001","0.8345009504330001","0.6492539377842664","0.9400317221228992","6026","6026","6026","0.727230988546834","0.48988493088583596","0.8323696546526999","12028","12028","12028","0.7559597832720832","0.6364431147906057","0.9421082449008057","12028","12028","12028"
"6251","0.840859694715343","0.7523552787121836","0.9379809841739065","6277","6277","6277","0.7256772324338219","0.4891950639614464","0.8330778666729429","12529","12529","12529","0.7564226420631746","0.6436949186073565","0.9411664274008423","12529","12529","12529"
"6501","0.8342357947821007","0.7603845360226488","0.9464616897932266","6528","6528","6528","0.7264623368629535","0.5028156853946889","0.8281163324656905","13030","13030","13030","0.7544387326373433","0.6378309483672321","0.9437180566620139","13030","13030","13030"
"6751","0.8531844797950316","0.7732701876977705","0.9350212735889979","6779","6779","6779","0.7242213058506475","0.4917693872869693","0.8275671650145684","13531","13531","13531","0.7568625230211843","0.6407498503300121","0.9427248507924276","13531","13531","13531"
"7001","0.8337971471909154","0.7164882713155972","0.9352988646949206","7030","7030","7030","0.7223772561322742","0.4937957517757951","0.8210203518033663","14032","14032","14032","0.7548327912152324","0.6376884468507447","0.943841965858422","14032","14032","14032"
"7251","0.8104178561401392","0.6603804649510631","0.9320387179746111","7281","7281","7281","0.7210679908063566","0.4986568410609517","0.8180205525684231","14533","14533","14533","0.7553616139357","0.6397237106234823","0.9426017663725442","14533","14533","14533"
"7501","0.8126263199009468","0.6927240083529997","0.9083395847842451","7532","7532","7532","0.7196465204067937","0.48667122097639776","0.8168689061984623","15034","15034","15034","0.755425836188384","0.633847547027902","0.9418733876883406","15034","15034","15034"
"7751","0.8045630550620222","0.6547402792228488","0.9074040513232804","7783","7783","7783","0.7177618865056541","0.4812712236404737","0.8182786920686348","15535","15535","15535","0.7562165971159083","0.6336280594554041","0.9443318088422089","15535","15535","15535"
"8001","0.8006563787543562","0.5103986962388514","0.9269096061282239","8034","8034","8034","0.7178375867660465","0.48364110226715634","0.8176835766655067","16036","16036","16036","0.7559423061956878","0.6372527282975741","0.9441497037402441","16036","16036","16036"
"8251","0.8125156587135018","0.6589399189742662","0.9393872749447642","8285","8285","8285","0.7180684845970792","0.4861215421970793","0.8182341354262257","16537","16537","16537","0.7565138099627369","0.6300141629622326","0.9448084861397814","16537","16537","16537"
"8501","0.8236889465887363","0.7247953021454935","0.930930145033927","8536","8536","8536","0.715864523523086","0.479023539816884","0.8119479818013867","17038","17038","17038","0.7545826307840271","0.635225258664916","0.9435378523893485","17038","17038","17038"
"8751","0.813961718050695","0.6079058882486884","0.9320961468932017","8787","8787","8787","0.7160398086789759","0.4848577371814666","0.8133390591308576","17539","17539","17539","0.7584483962730741","0.6458228362228775","0.9455356072225318","17539","17539","17539"
"9001","0.8322381029971042","0.7381542142289433","0.9314830240999267","9038","9038","9038","0.7133544388199148","0.47982663158392286","0.8122019545744054","18040","18040","18040","0.7577730132757361","0.6419510753091543","0.944932106461381","18040","18040","18040"
"9251","0.7992179666224397","0.6975587341674029","0.9254842603575536","9289","9289","9289","0.7141270642886137","0.4785965932206655","0.8132238103190917","18541","18541","18541","0.7561419238312076","0.6318272255673668","0.9442779845480113","18541","18541","18541"
"9501","0.821129438882098","0.6838891291378618","0.9358455943169918","9540","9540","9540","0.7125651549443229","0.4735091367730704","0.8059848180107473","19042","19042","19042","0.7564621868781016","0.6363620291702569","0.9447766250302942","19042","19042","19042"
"9751","0.810747819966456","0.670539316127552","0.9370486606950399","9791","9791","9791","0.7139663553962731","0.49108249826273714","0.8117136697996963","19543","19543","19543","0.7566631415443862","0.6292027599708976","0.9454055969914629","19543","19543","19543"