"stage1/step","Group: VaDE_Complicate_gumbel - stage1/mcc_spearman","Group: VaDE_Complicate_gumbel - stage1/mcc_spearman__MIN","Group: VaDE_Complicate_gumbel - stage1/mcc_spearman__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gumbel - stage1/mcc_spearman","Group: Danru_Complicate_gumbel - stage1/mcc_spearman__MIN","Group: Danru_Complicate_gumbel - stage1/mcc_spearman__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_gumbel - stage1/mcc_spearman","Group: Ours_Complicate_gumbel - stage1/mcc_spearman__MIN","Group: Ours_Complicate_gumbel - stage1/mcc_spearman__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX"
"1","0.33901159930352465","0.28109516936611","0.3936747646607536","2","2","2","0.39514409096145076","0.35464576922224084","0.44054602547185573","4","4","4","0.37679193993073634","0.3275926317970203","0.4404844502964497","4","4","4"
"251","0.3100699952816075","0.2710292818832506","0.4674630100046949","253","253","253","0.49692184695306263","0.4422378523324347","0.5882204027601656","505","505","505","0.4645873707515752","0.43421634118955604","0.499669101133654","505","505","505"
"501","0.4143199554584445","0.35797038889021404","0.47769007314005735","504","504","504","0.4983571680360653","0.4404766527951134","0.5946951461006573","1006","1006","1006","0.4728182766559727","0.45473218817348726","0.5094154947517039","1006","1006","1006"
"751","0.4473647145939945","0.3794096334238525","0.5128648011045213","755","755","755","0.5008189642850859","0.4418861539396297","0.5981710546476149","1507","1507","1507","0.47478881361947367","0.45050005995517994","0.5069951536985151","1507","1507","1507"
"1001","0.46625349345879","0.3928550688452058","0.5148103667568199","1006","1006","1006","0.500492521289765","0.4448299294682685","0.5929455424856134","2008","2008","2008","0.47745871175057475","0.46077594032390434","0.5096833747816052","2008","2008","2008"
"1251","0.4772828643338861","0.41114314187516465","0.5212482192049117","1257","1257","1257","0.49995609824164955","0.4450877259350725","0.5869526239250485","2509","2509","2509","0.47954585928450716","0.46626912318843783","0.5118178801547502","2509","2509","2509"
"1501","0.48632419812039185","0.4203622486630495","0.5298094914826719","1508","1508","1508","0.4986902867534062","0.44536004303080823","0.5875882217914239","3010","3010","3010","0.48128379841184776","0.4644986414489269","0.5155285214475218","3010","3010","3010"
"1751","0.4882884497340492","0.42949329905443345","0.5399965114614209","1759","1759","1759","0.49872084591378807","0.4469836321271622","0.5892901672265946","3511","3511","3511","0.48022461503211505","0.4647085542990325","0.5121997517009665","3511","3511","3511"
"2001","0.4933316045329671","0.44595993530140277","0.5397626323043884","2010","2010","2010","0.4963160755680673","0.4482134968121153","0.5824914904095789","4012","4012","4012","0.48278578516245074","0.46645009295099193","0.5147738508865072","4012","4012","4012"
"2251","0.49629349481425666","0.4405596129607581","0.5423450430713073","2261","2261","2261","0.49760717566556123","0.4440875694110803","0.5796590734501608","4513","4513","4513","0.48481147807149966","0.47095516343583055","0.5189411680112677","4513","4513","4513"
"2501","0.49204672785062353","0.44506652222287835","0.5274004152970407","2512","2512","2512","0.4959665607818963","0.4448918130101428","0.5843704243744396","5014","5014","5014","0.4839565744028381","0.47003656550012207","0.5167838707846237","5014","5014","5014"
"2751","0.4947328353026611","0.45086643819755584","0.5438295537321711","2763","2763","2763","0.4955821053652311","0.44706316724481876","0.5811617006274518","5515","5515","5515","0.48538627904644727","0.4698332187060972","0.51687579916719","5515","5515","5515"
"3001","0.49747160023563036","0.4490094890533477","0.5380226822273384","3014","3014","3014","0.4971237418500426","0.44958363186015315","0.5781031514896391","6016","6016","6016","0.4863882068364863","0.4702947092689122","0.5200255553424443","6016","6016","6016"
"3251","0.49758629775209906","0.4369505890973329","0.5450462148770326","3265","3265","3265","0.49645865777376486","0.44896431327516256","0.5783041996419516","6517","6517","6517","0.48685348201691586","0.47139975022540553","0.5234159655537967","6517","6517","6517"
"3501","0.49908096702004334","0.4488084049122893","0.5425277438653104","3516","3516","3516","0.49530438903609675","0.4512624505455654","0.5779060377144452","7018","7018","7018","0.4881491213552797","0.4697224081845781","0.5217078567169976","7018","7018","7018"
"3751","0.49725403304088306","0.44629822018884174","0.5387506281088184","3767","3767","3767","0.49519388877918624","0.44191042930358837","0.580387385489191","7519","7519","7519","0.4885563362214911","0.4769368724085604","0.5200498154370605","7519","7519","7519"
"4001","0.49860413186693986","0.44730896927058356","0.5423710647716975","4018","4018","4018","0.49463046464633376","0.44830968210651284","0.5729790906991099","8020","8020","8020","0.48968694901959386","0.47375606905432105","0.5231097063341229","8020","8020","8020"
"4251","0.49861253708820924","0.4490989659042327","0.5438297536212997","4269","4269","4269","0.4937764322584043","0.44874727317111474","0.5754669556124822","8521","8521","8521","0.4896032687039004","0.47431485097746623","0.5244931264718068","8521","8521","8521"
"4501","0.4994614017587645","0.45218410953099075","0.5466298989114431","4520","4520","4520","0.49342852097573164","0.4461360136191163","0.5728685692433548","9022","9022","9022","0.49004951280494524","0.4720296613765108","0.5215585761490786","9022","9022","9022"
"4751","0.4988555537867603","0.4564317800753524","0.5395428287952759","4771","4771","4771","0.4952915536732653","0.4539404274673071","0.5737087633273524","9523","9523","9523","0.4914537157519761","0.47182836667505557","0.5273585246191106","9523","9523","9523"
"5001","0.4988491638660234","0.4528819745118571","0.5401699997721024","5022","5022","5022","0.49219730292192815","0.44813831454058556","0.5729030454461368","10024","10024","10024","0.49086405625845525","0.4773750837216852","0.5206559321072491","10024","10024","10024"
"5251","0.4985591486113566","0.44835712187838295","0.5502103099189314","5273","5273","5273","0.4945957444806752","0.45308245315128437","0.5744327995267099","10525","10525","10525","0.49135856546981926","0.47190606510875116","0.5217850294135309","10525","10525","10525"
"5501","0.4981854713362033","0.45282445058240334","0.5388755785548518","5524","5524","5524","0.4922092242161515","0.44805099963446116","0.5735827874561754","11026","11026","11026","0.49125401222208753","0.47749816026589825","0.5192410466711623","11026","11026","11026"
"5751","0.49972587401557406","0.4567979484365182","0.5530075692527825","5775","5775","5775","0.4921077859003007","0.45291866690210336","0.5718642149895773","11527","11527","11527","0.49121085478786186","0.46637393469904387","0.5203825987580192","11527","11527","11527"
"6001","0.49760244485990973","0.4509971119149358","0.5466927412152197","6026","6026","6026","0.4913536861225949","0.44696705270655324","0.5719033331895632","12028","12028","12028","0.49174339380131976","0.47289263589472863","0.5280035456971564","12028","12028","12028"
"6251","0.4953792507030893","0.4458704919700513","0.5457957275926719","6277","6277","6277","0.49147930766553427","0.4495994049723245","0.5711425376016701","12529","12529","12529","0.49284163693549293","0.4766078062501166","0.5270166362208525","12529","12529","12529"
"6501","0.49635523717277","0.4629126368321129","0.5446089500930349","6528","6528","6528","0.4924555688931762","0.4517706259144629","0.5699021030138106","13030","13030","13030","0.49205296916751184","0.47130231728657224","0.5300915831335713","13030","13030","13030"
"6751","0.49527995934844815","0.4578927026298255","0.5481552972607352","6779","6779","6779","0.49141850207774995","0.45013241044646135","0.5708471837506265","13531","13531","13531","0.49248991483720317","0.4751355184164371","0.5268285689074592","13531","13531","13531"
"7001","0.4936656565675209","0.4469208179903899","0.5458000133224049","7030","7030","7030","0.4899178616159732","0.4444752762708416","0.5701796796983708","14032","14032","14032","0.4921529045088384","0.467025499477587","0.5243410625668302","14032","14032","14032"
"7251","0.5006676889168535","0.461251599157898","0.5497832368638754","7281","7281","7281","0.48997489109917947","0.44701483708105705","0.5669700654342837","14533","14533","14533","0.49307773459258486","0.4758144322519092","0.5260209701743666","14533","14533","14533"
"7501","0.4994254766503377","0.46617974356969405","0.5397562741990517","7532","7532","7532","0.488945247381711","0.4464796630277177","0.5669261680667443","15034","15034","15034","0.49298975884740254","0.46518613237226597","0.5257889215597018","15034","15034","15034"
"7751","0.49904596762308895","0.4608773430061753","0.5461706282578155","7783","7783","7783","0.4889416094200455","0.44348405812835595","0.5680619588713144","15535","15535","15535","0.4952280457159972","0.46974137625383117","0.5307994967618249","15535","15535","15535"
"8001","0.5003334279631156","0.459798379245879","0.5430252375830584","8034","8034","8034","0.4886566972306647","0.44307379943472736","0.5656145610566311","16036","16036","16036","0.49339572025350575","0.47053511272738524","0.5309879857307089","16036","16036","16036"
"8251","0.5013125487741352","0.46219602998901754","0.5501469600770966","8285","8285","8285","0.48845579723672305","0.45235493774413593","0.5663099617114993","16537","16537","16537","0.49460061247508913","0.4745476424206617","0.5291480921645818","16537","16537","16537"
"8501","0.4992819219460369","0.45547479770482263","0.5475534423210577","8536","8536","8536","0.48925420035376527","0.4457158486217033","0.5690506869087846","17038","17038","17038","0.4935271966940034","0.4699347031180238","0.5281703081119431","17038","17038","17038"
"8751","0.5008552551884087","0.4608267408306366","0.5458703858710813","8787","8787","8787","0.48744684281525963","0.4464049546199217","0.5633663449591757","17539","17539","17539","0.49497323940123633","0.4745519700551918","0.5276203121026708","17539","17539","17539"
"9001","0.5008835418510034","0.46121707942699164","0.5473183483917153","9038","9038","9038","0.4871136489697679","0.44293584092510496","0.5607264461984045","18040","18040","18040","0.49442516894573274","0.47204053101342003","0.5305662872579971","18040","18040","18040"
"9251","0.5000411671888805","0.4615493163460365","0.5454015773159024","9289","9289","9289","0.4874327068263882","0.44322178297334947","0.5626010179238736","18541","18541","18541","0.49479006238151324","0.4692842517902919","0.5297828368399737","18541","18541","18541"
"9501","0.4996590529076169","0.45789232050038436","0.5451522774293522","9540","9540","9540","0.4879779212755708","0.45269179671589727","0.5655310288905314","19042","19042","19042","0.4964514503014133","0.4759525667462869","0.5336379391679774","19042","19042","19042"
"9751","0.5011471931604808","0.4644693287547976","0.5435928514754098","9791","9791","9791","0.4875380123756979","0.44897366145011075","0.560431820034582","19543","19543","19543","0.49466347149320794","0.4706966862678687","0.5300060918332041","19543","19543","19543"