"stage1/step","Group: VaDE_Simple_gumbel - stage1/mcc_spearman","Group: VaDE_Simple_gumbel - stage1/mcc_spearman__MIN","Group: VaDE_Simple_gumbel - stage1/mcc_spearman__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: Danru_Simple_gumbel - stage1/mcc_spearman","Group: Danru_Simple_gumbel - stage1/mcc_spearman__MIN","Group: Danru_Simple_gumbel - stage1/mcc_spearman__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Ours_Simple_gumbel - stage1/mcc_spearman","Group: Ours_Simple_gumbel - stage1/mcc_spearman__MIN","Group: Ours_Simple_gumbel - stage1/mcc_spearman__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"1","0.49231489944245865","0.3991280886194178","0.574094585817892","2","2","2","0.5573758241566968","0.4991281115280593","0.6484505070484986","4","4","4","0.5612522316602342","0.5124377416810256","0.6447199289461616","4","4","4"
"251","0.6196172518012586","0.5067179017370099","0.648266123706258","253","253","253","0.6562688703806467","0.5117870558566643","0.718433840930015","505","505","505","0.6716215795708985","0.5925191794558465","0.7445076576694379","505","505","505"
"501","0.6795044886373673","0.5954522506687713","0.7350710493884205","504","504","504","0.6579999653164523","0.5122272053076814","0.7203942199970471","1006","1006","1006","0.6708803793370649","0.5910266005127666","0.744920330313532","1006","1006","1006"
"751","0.6802167269260282","0.6429809751511213","0.7816297964848937","755","755","755","0.6558975834417585","0.4995841401780312","0.7148305631200822","1507","1507","1507","0.6700452610067601","0.5922630810315815","0.7462753208206888","1507","1507","1507"
"1001","0.6854478531416122","0.6182020048351293","0.7690248911175819","1006","1006","1006","0.6567467073230814","0.5023786488839949","0.7168199948961315","2008","2008","2008","0.6715252773439586","0.5934087958738495","0.7483350813343023","2008","2008","2008"
"1251","0.682175893078055","0.6445493634538472","0.7543243271451141","1257","1257","1257","0.6585572864817306","0.5143309425409742","0.7176085449988149","2509","2509","2509","0.6720011865159918","0.5965604944064632","0.7484659984448193","2509","2509","2509"
"1501","0.6749523138758582","0.6297678245182188","0.7290539825009583","1508","1508","1508","0.6572909790366663","0.501563600019927","0.7172741817594271","3010","3010","3010","0.6731822365873678","0.6005764385628515","0.7525922940981201","3010","3010","3010"
"1751","0.6750587522523068","0.620205815184133","0.7685253013916608","1759","1759","1759","0.6566487126526461","0.5058180450574771","0.7158918401915217","3511","3511","3511","0.6724181758205383","0.5999469979577855","0.7537119109575503","3511","3511","3511"
"2001","0.6797315848852682","0.6041045180464842","0.7696692764920949","2010","2010","2010","0.6562235026369813","0.5091305561619709","0.7217148345022485","4012","4012","4012","0.6717537287697766","0.6007094890619188","0.7563279275055685","4012","4012","4012"
"2251","0.6761110350417285","0.59918810444201","0.8029197603504749","2261","2261","2261","0.6552845035586395","0.503531819489999","0.71728535323157","4513","4513","4513","0.6719491759426521","0.601461726903269","0.7525647726554755","4513","4513","4513"
"2501","0.6824078876829638","0.5214544607821548","0.8036445480721112","2512","2512","2512","0.6536285040437518","0.5063072003113375","0.7107736626403783","5014","5014","5014","0.6730403072393673","0.6030746801418658","0.7551511034104913","5014","5014","5014"
"2751","0.6718992670060657","0.5745596679615893","0.738335662853166","2763","2763","2763","0.6537243054573401","0.5121924151015226","0.7133016458259115","5515","5515","5515","0.6721991502594462","0.6052545483905897","0.7558222366369938","5515","5515","5515"
"3001","0.6936726039384767","0.6464553203162441","0.7950650947872463","3014","3014","3014","0.6520130137919917","0.5036985345598088","0.7135799440484812","6016","6016","6016","0.6734840527269595","0.6067655531856829","0.7569121912744466","6016","6016","6016"
"3251","0.6828998134526322","0.6387885885680448","0.7730003455545761","3265","3265","3265","0.6504293695468737","0.4959651161332923","0.7118609110165058","6517","6517","6517","0.6727087906798703","0.6059878153421868","0.7528441618021655","6517","6517","6517"
"3501","0.6833068844217994","0.5935894881186704","0.8003346840473312","3516","3516","3516","0.6509915178182781","0.5169246387606943","0.7017185945735062","7018","7018","7018","0.6721832453686345","0.6065700521533111","0.7556879785469386","7018","7018","7018"
"3751","0.6694056400271771","0.575746308750883","0.7899126996623306","3767","3767","3767","0.6500569958385058","0.5118225707751966","0.7078434114882111","7519","7519","7519","0.6729612051418659","0.6083969761254929","0.754601441195303","7519","7519","7519"
"4001","0.6882876740253618","0.6305085153069269","0.7869937399157484","4018","4018","4018","0.6489602000399594","0.5076868101415354","0.7079330081722216","8020","8020","8020","0.6737597447043961","0.6109375696343347","0.7537161697501465","8020","8020","8020"
"4251","0.6811387368562467","0.6213533173319185","0.7882438977512692","4269","4269","4269","0.6466719917493886","0.5019346629462086","0.7007065851799048","8521","8521","8521","0.6748108962748447","0.6127214521597732","0.7575801480227445","8521","8521","8521"
"4501","0.6877689645310425","0.6309692154000511","0.7753494070723361","4520","4520","4520","0.6466649603277503","0.5087716335539273","0.6982850393299032","9022","9022","9022","0.6739182165734536","0.6134701178021463","0.7569626225957905","9022","9022","9022"
"4751","0.6674182823165549","0.6087316429721478","0.7924903440242836","4771","4771","4771","0.6462109048883333","0.502466350043119","0.7033036303596812","9523","9523","9523","0.674710158973202","0.6104731727812353","0.7567224256544131","9523","9523","9523"
"5001","0.6493648670799668","0.5865606482658051","0.703960224903247","5022","5022","5022","0.6455580057282759","0.5098633079352278","0.6985705273847023","10024","10024","10024","0.673541294422594","0.6119477309122723","0.7545629131213089","10024","10024","10024"
"5251","0.6735670186900412","0.6448226967302659","0.6936410524908506","5273","5273","5273","0.6440009907817114","0.49914059612326006","0.695692780875615","10525","10525","10525","0.6750924056115217","0.6162487211612081","0.7565049455402156","10525","10525","10525"
"5501","0.6777291146463935","0.6425397320469015","0.7880738339596216","5524","5524","5524","0.6430089306578156","0.4982380257847103","0.692722884049802","11026","11026","11026","0.6752892174329652","0.6165784712616695","0.7588745153009494","11026","11026","11026"
"5751","0.683684511164759","0.6146008066881078","0.7889289177621678","5775","5775","5775","0.6437785701835925","0.5021141837894345","0.6954500945219381","11527","11527","11527","0.6760284547832924","0.6171329947150036","0.7590514831762013","11527","11527","11527"
"6001","0.6665848804716121","0.6187140503651744","0.7004028725270578","6026","6026","6026","0.6415723300971868","0.4917948809008362","0.6939999563421333","12028","12028","12028","0.6758952072337006","0.6179568724819254","0.7580528620964387","12028","12028","12028"
"6251","0.6580063711610109","0.5488096437635975","0.754290877303264","6277","6277","6277","0.6412425656248844","0.4940030494255477","0.6924511285597402","12529","12529","12529","0.6761099960166123","0.6147494635789313","0.7575288450141544","12529","12529","12529"
"6501","0.677101977797094","0.5814619682110252","0.7906705002847602","6528","6528","6528","0.640378544683063","0.4930181041984592","0.6907596960267686","13030","13030","13030","0.6758779960395277","0.6205727579733277","0.7571073998484578","13030","13030","13030"
"6751","0.6603124816383152","0.4773741043254241","0.7811823428720852","6779","6779","6779","0.6404241212370986","0.49857888326522143","0.6872411647807309","13531","13531","13531","0.6771324658593676","0.6209445909060851","0.7592735386251132","13531","13531","13531"
"7001","0.6723131703780695","0.6174375015284438","0.7544519260596246","7030","7030","7030","0.63859638347736","0.48882330915604594","0.6864622664533999","14032","14032","14032","0.6766210765895132","0.6202230347594029","0.7562964645387172","14032","14032","14032"
"7251","0.673232149821739","0.607911108297562","0.7723109116275806","7281","7281","7281","0.6397337079627479","0.49651421131467927","0.6865690342692595","14533","14533","14533","0.6765390526481221","0.6209280113527688","0.7574981548702345","14533","14533","14533"
"7501","0.6740637452815725","0.6339744182005919","0.7257503516147178","7532","7532","7532","0.6393146391478072","0.49461004121554275","0.6860346113664093","15034","15034","15034","0.6774611506906045","0.6223964398944005","0.7596255831937224","15034","15034","15034"
"7751","0.6788975187339832","0.6332901527578735","0.7820533745591635","7783","7783","7783","0.638256247057569","0.49558025008004886","0.6850095360525589","15535","15535","15535","0.6761518704996055","0.619932770135571","0.7556421596966496","15535","15535","15535"
"8001","0.6592436973890367","0.5477136845028672","0.7290902460498042","8034","8034","8034","0.6368929904694958","0.4818978455094946","0.6847597596111497","16036","16036","16036","0.6771216928007653","0.6233378365871344","0.7592640679946031","16036","16036","16036"
"8251","0.6843734986276342","0.6386118237915316","0.7795886242122639","8285","8285","8285","0.6367739990833406","0.48815050704583784","0.6863953608949198","16537","16537","16537","0.6780017405003104","0.622154196121411","0.7594366913557273","16537","16537","16537"
"8501","0.6589370645929582","0.5562617083102376","0.706340395116359","8536","8536","8536","0.6372705229864226","0.4894079702273628","0.685585039035525","17038","17038","17038","0.6779893991947329","0.6221351611337543","0.7581205992299015","17038","17038","17038"
"8751","0.6811396611865023","0.6138732517190447","0.7773946697938575","8787","8787","8787","0.636379490287953","0.48147039441114564","0.6830802280496878","17539","17539","17539","0.6778544883319855","0.624105931627187","0.7564727707066976","17539","17539","17539"
"9001","0.6779642227165625","0.6156824603796931","0.7803729686259947","9038","9038","9038","0.6366088824974732","0.48667535385052946","0.683661519882301","18040","18040","18040","0.6788179342282927","0.6245991939391037","0.7578138226305907","18040","18040","18040"
"9251","0.6638724481512904","0.558436673669494","0.7732960713632862","9289","9289","9289","0.635632786154505","0.48337176808947424","0.681263549478308","18541","18541","18541","0.6780550967443197","0.6242471207845243","0.7603789453508041","18541","18541","18541"
"9501","0.666491583202713","0.6203644751003248","0.7684924462536307","9540","9540","9540","0.635965607937978","0.4799199717886243","0.6816752236575736","19042","19042","19042","0.6777592895277029","0.6268703757903394","0.7589610930113023","19042","19042","19042"
"9751","0.682168061505106","0.6245405023697199","0.7728260862848696","9791","9791","9791","0.6351907420637518","0.48551175196307045","0.6793195138592831","19543","19543","19543","0.6784347175934237","0.6285797817285542","0.7589633801748076","19543","19543","19543"